id,nombre,descripcion,area_id,orden,es_transversal,activo,created_at,updated_at
ct-aprendizaje,Gestiona su aprendizaje de manera autónoma,Desarrolla la autonomía en el aprendizaje,,2,true,true,2025-10-30 03:42:56.202508+00,2025-10-30 03:42:56.202508+00
ct-tic,Se desenvuelve en entornos virtuales generados por las TIC,Interactúa en entornos virtuales y gestiona información digital,,1,true,true,2025-10-30 03:42:56.202508+00,2025-10-30 03:42:56.202508+00
ini-com-1,Se comunica oralmente en su lengua materna,Desarrolla la comunicación oral en diversos contextos,inicial-comunicacion,1,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-com-2,Lee diversos tipos de textos en su lengua materna,Desarrolla la comprensión de textos escritos,inicial-comunicacion,2,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-com-3,Escribe diversos tipos de textos en su lengua materna,Desarrolla la producción de textos escritos,inicial-comunicacion,3,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-com-4,Crea proyectos desde los lenguajes artísticos,Desarrolla la expresión artística y creativa,inicial-comunicacion,4,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-cyt-1,Indaga mediante métodos científicos para construir sus conocimientos,Desarrolla la indagación científica,inicial-ciencia-tecnologia,1,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-mat-1,Resuelve problemas de cantidad,Desarrolla el razonamiento numérico y operacional,inicial-matematica,1,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-mat-2,"Resuelve problemas de forma, movimiento y localización",Desarrolla el razonamiento geométrico y espacial,inicial-matematica,2,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-ps-1,Construye su identidad,Desarrolla el autoconocimiento y la autorregulación,inicial-personal-social,1,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-ps-2,Convive y participa democráticamente en la búsqueda del bien común,Desarrolla la convivencia y participación democrática,inicial-personal-social,2,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-ps-3,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",Desarrolla su dimensión religiosa y espiritual,inicial-personal-social,3,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
ini-psico-1,Se desenvuelve de manera autónoma a través de su motricidad,Desarrolla la motricidad y expresión corporal,inicial-psicomotriz,1,false,true,2025-10-30 03:42:08.263279+00,2025-10-30 03:42:08.263279+00
pri-ac-1,Aprecia de manera crítica manifestaciones artístico-culturales,,primaria-arte-cultura,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ac-2,Crea proyectos desde los lenguajes artísticos,,primaria-arte-cultura,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-cast-1,Se comunica oralmente en su lengua materna,,primaria-castellano-segunda-lengua,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-cast-2,Lee diversos tipos de textos en su lengua materna,,primaria-castellano-segunda-lengua,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-cast-3,Escribe diversos tipos de textos en su lengua materna,,primaria-castellano-segunda-lengua,3,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-com-1,Se comunica oralmente en su lengua materna,,primaria-comunicacion,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-com-2,Lee diversos tipos de textos en su lengua materna,,primaria-comunicacion,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-com-3,Escribe diversos tipos de textos en su lengua materna,,primaria-comunicacion,3,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-com-4,Crea proyectos desde los lenguajes artísticos,,primaria-comunicacion,4,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-cyt-1,Indaga mediante métodos científicos para construir sus conocimientos,,primaria-ciencia-tecnologia,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-cyt-2,"Explica el mundo físico basándose en conocimientos sobre los seres vivos, materia y energía, biodiversidad, Tierra y universo",,primaria-ciencia-tecnologia,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-cyt-3,Diseña y construye soluciones tecnológicas para resolver problemas de su entorno,,primaria-ciencia-tecnologia,3,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ef-1,Se desenvuelve de manera autónoma a través de su motricidad,,primaria-educacion-fisica,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ef-2,Asume una vida saludable,,primaria-educacion-fisica,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ef-3,Interactúa a través de sus habilidades sociomotrices,,primaria-educacion-fisica,3,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-er-1,"Construye su identidad como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",,primaria-educacion-religiosa,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-er-2,Asume la experiencia del encuentro personal y comunitario con Dios en su proyecto de vida en coherencia con su creencia religiosa,,primaria-educacion-religiosa,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ing-1,Se comunica oralmente en inglés como lengua extranjera,,primaria-ingles,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ing-2,Lee diversos tipos de textos en inglés como lengua extranjera,,primaria-ingles,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ing-3,Escribe diversos tipos de textos en inglés como lengua extranjera,,primaria-ingles,3,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-mat-1,Resuelve problemas de cantidad,,primaria-matematica,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-mat-2,"Resuelve problemas de regularidad, equivalencia y cambio",,primaria-matematica,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-mat-3,"Resuelve problemas de forma, movimiento y localización",,primaria-matematica,3,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-mat-4,Resuelve problemas de gestión de datos e incertidumbre,,primaria-matematica,4,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ps-1,Construye su identidad,,primaria-personal-social,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ps-2,Convive y participa democráticamente en la búsqueda del bien común,,primaria-personal-social,2,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-ps-3,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",,primaria-personal-social,3,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
pri-psico-1,Se desenvuelve de manera autónoma a través de su motricidad,,primaria-psicomotriz,1,false,true,2025-10-30 03:42:23.957308+00,2025-10-30 03:42:23.957308+00
sec-ac-1,Aprecia de manera crítica manifestaciones artístico-culturales,,secundaria-arte-cultura,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-ac-2,Crea proyectos desde los lenguajes artísticos,,secundaria-arte-cultura,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cast-1,Se comunica oralmente en castellano como segunda lengua,,secundaria-castellano-segunda-lengua,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cast-2,Lee diversos tipos de textos escritos en castellano como segunda lengua,,secundaria-castellano-segunda-lengua,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cast-3,Escribe diversos tipos de textos en castellano como segunda lengua,,secundaria-castellano-segunda-lengua,3,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-com-1,Se comunica oralmente en su lengua materna,,secundaria-comunicacion,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-com-2,Lee diversos tipos de textos escritos en lengua materna,,secundaria-comunicacion,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-com-3,Escribe diversos tipos de textos en lengua materna,,secundaria-comunicacion,3,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cs-1,Construye interpretaciones históricas,,secundaria-ciencias-sociales,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cs-2,Gestiona responsablemente el espacio y el ambiente,,secundaria-ciencias-sociales,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cs-3,Gestiona responsablemente los recursos económicos,,secundaria-ciencias-sociales,3,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cyt-1,Indaga mediante métodos científicos para construir conocimientos,,secundaria-ciencia-tecnologia,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cyt-2,"Explica el mundo físico basándose en conocimientos sobre los seres vivos, materia y energía, biodiversidad, Tierra y universo",,secundaria-ciencia-tecnologia,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-cyt-3,Diseña y construye soluciones tecnológicas para resolver problemas de su entorno,,secundaria-ciencia-tecnologia,3,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-dpcc-1,Construye su identidad,,secundaria-desarrollo-personal,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-dpcc-2,Convive y participa democráticamente en la búsqueda del bien común,,secundaria-desarrollo-personal,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-ef-1,Se desenvuelve de manera autónoma a través de su motricidad,,secundaria-educacion-fisica,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-ef-2,Asume una vida saludable,,secundaria-educacion-fisica,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-ef-3,Interactúa a través de sus habilidades sociomotrices,,secundaria-educacion-fisica,3,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-er-1,"Construye su identidad como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",,secundaria-educacion-religiosa,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-er-2,Asume la experiencia del encuentro personal y comunitario con Dios en su proyecto de vida en coherencia con su creencia religiosa,,secundaria-educacion-religiosa,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-et-1,Gestiona proyectos de emprendimiento económico o social,,secundaria-educacion-trabajo,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-ing-1,Se comunica oralmente en inglés como lengua extranjera,,secundaria-ingles,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-ing-2,Lee diversos tipos de textos en inglés como lengua extranjera,,secundaria-ingles,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-ing-3,Escribe diversos tipos de textos en inglés como lengua extranjera,,secundaria-ingles,3,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-mat-1,Resuelve problemas de cantidad,,secundaria-matematica,1,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-mat-2,"Resuelve problemas de regularidad, equivalencia y cambio",,secundaria-matematica,2,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
sec-mat-3,"Resuelve problemas de forma, movimiento y localización",,secundaria-matematica,3,false,true,2025-10-30 03:42:39.216254+00,2025-10-30 03:42:39.216254+00
