ciclo,edad,area,competencia,capacidad,criterio
ciclo-I,1 año,Comunicación,Se comunica oralmente en su lengua materna,Infiere e interpreta información del texto oral,"Responde a las personas conocidas de su entorno familiar que le hablan a través de balbuceos, sonrisas, miradas, señas, gestos y movimientos corporales."
ciclo-I,1 año,Comunicación,Se comunica oralmente en su lengua materna,Infiere e interpreta información del texto oral,"Responde a las personas conocidas de su entorno familiar que le hablan con señas, gestos, sonrisas, miradas, movimientos corporales y algunas palabras."
ciclo-I,1 año,Comunicación,Se comunica oralmente en su lengua materna,Obtiene información del texto oral,"Expresa sus necesidades, emociones e intereses al interactuar con otras personas conocidas de su entorno familiar a través de señas, gestos, sonrisas, miradas, movimientos corporales y/o algunas palabras con la intención de comunicarse o lograr su propósito."
ciclo-I,1 año,Comunicación,Se comunica oralmente en su lengua materna,Obtiene información del texto oral,"Expresa sus necesidades, emociones e intereses al interactuar con personas conocidas de su entorno familiar a través de balbuceos, señas, gestos, sonrisas, miradas, movimientos corporales y, en algunas ocasiones, con el llanto, con la intención de comunicarse o lograr su propósito."
ciclo-I,1 año,Descubrimiento del Mundo,Indaga mediante métodos científicos para construir sus conocimientos,Genera y registra datos o información,"Explora, con todos sus sentidos (mira, toca, huele, chupa, escucha) y desde su iniciativa, los hechos que ocurren en su entorno inmediato y algunas características de los objetos que están a su alcance."
ciclo-I,1 año,Descubrimiento del Mundo,Indaga mediante métodos científicos para construir sus conocimientos,Genera y registra datos o información,"Explora, con todos sus sentidos (mira, toca, huele, chupa, escucha) y desde su iniciativa, los hechos que ocurren en su entorno y hace uso de los objetos que están a su alcance según sus características."
ciclo-I,1 año,Descubrimiento del Mundo,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,Descubre algunas características perceptuales de los objetos de su entorno inmediato durante la exploración con todos sus sentidos y según sus intereses.
ciclo-I,1 año,Descubrimiento del Mundo,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,Establece relaciones entre las características perceptuales y los usos que le asigna a los objetos de su entorno inmediato durante la exploración con todos sus sentidos y según sus intereses.
ciclo-I,1 año,Descubrimiento del Mundo,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,"Descubre relaciones de espacio y medida a partir de la exploración con su cuerpo y todos sus sentidos en su entorno inmediato. Lo hace según sus intereses, y desde sus posibilidades de movimiento y desplazamiento."
ciclo-I,1 año,Descubrimiento del Mundo,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,"Establece relaciones de espacio y medida, se organiza y organiza los objetos a partir de la exploración con su cuerpo y todos sus sentidos en su entorno inmediato. Lo hace según sus intereses, y desde sus posibilidades de movimiento y desplazamiento."
